first_name,second_name,position,team_name,cost_m,total_points,minutes,starts,goals_scored,assists,clean_sheets,points_per_game,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,defensive_contribution_per_90,saves_per_90,points_per_90,goals_per_90,assists_per_90,points_per_million
David,Raya,GK,Arsenal,5.8000,52,900,10,0,0,7,5.2,0,0,0,0.57,0.3,0,1.6,5.2,0,0,8.965517241
Gabriel,"dos Santos Magalhaes",DEF,Arsenal,6.6000,80,900,10,1,2,7,8,0.08,0.07,0.15,0.57,0.3,9.5,0,8,0.1,0.2,12.12121212
William,Saliba,DEF,Arsenal,6.0000,38,634,8,0,0,5,4.2,0.02,0.03,0.05,0.6,0.14,7.24,0,5.394321767,0,0,6.333333333
Riccardo,Calafiori,DEF,Arsenal,5.8000,60,766,10,1,2,7,6,0.24,0.02,0.26,0.51,0.35,4.93,0,7.049608355,0.117493473,0.234986945,10.34482759
Jurrien,Timber,DEF,Arsenal,6.1000,66,791,9,2,2,6,6.6,0.24,0.07,0.31,0.53,0.34,6.49,0,7.509481669,0.227560051,0.227560051,10.81967213
Bukayo,Saka,MID,Arsenal,10.1000,33,591,7,2,0,5,4.1,0.29,0.32,0.61,0.61,0.15,6.85,0,5.025380711,0.304568528,0,3.267326733
Martin,Odegaard,MID,Arsenal,7.8000,13,201,4,0,1,1,2.2,0.06,0.36,0.42,1.06,0.45,8.51,0,5.820895522,0,0.447761194,1.666666667
Noni,Madueke,MID,Arsenal,6.8000,10,304,4,0,0,2,2,0.09,0.25,0.34,0.6,0.59,4.14,0,2.960526316,0,0,1.470588235
Gabriel,"Martinelli Silva",MID,Arsenal,6.8000,16,214,2,1,0,1,2,0.32,0.03,0.35,0.83,0,6.73,0,6.728971963,0.420560748,0,2.352941176
Leandro,Trossard,MID,Arsenal,6.9000,31,552,6,1,2,4,3.9,0.3,0.14,0.44,0.52,0.33,4.24,0,5.054347826,0.163043478,0.326086957,4.492753623
Declan,Rice,MID,Arsenal,6.8000,63,803,9,2,4,6,6.3,0.12,0.24,0.36,0.56,0.34,9.41,0,7.061021171,0.224159402,0.448318804,9.264705882
Mikel,"Merino ZazA3n",MID,Arsenal,5.9000,18,323,3,1,0,2,2,0.09,0.05,0.14,0.61,0.28,10.31,0,5.015479876,0.278637771,0,3.050847458
MartAn,"Zubimendi ",MID,Arsenal,5.5000,43,847,9,2,0,7,4.3,0.03,0.1,0.13,0.56,0.32,8.18,0,4.569067296,0.212514758,0,7.818181818
Eberechi,Eze,MID,Arsenal,7.6000,39,613,7,1,3,6,4.3,0.23,0.13,0.36,0.55,0.29,5.29,0,5.72593801,0.146818923,0.44045677,5.131578947
Cristhian,Mosquera,DEF,Arsenal,5.4000,13,292,2,0,0,1,2.2,0,0.03,0.03,0.47,0.62,8.63,0,4.006849315,0,0,2.407407407
Viktor,Gyokeres,FWD,Arsenal,9.0000,37,801,10,4,0,5,3.7,0.5,0.07,0.57,0.49,0.34,3.26,0,4.157303371,0.449438202,0,4.111111111
Emiliano,"Martinez Romero",GK,"Aston Villa",5.0000,26,720,8,0,0,2,3.2,0,0,0,1.1,0.88,0,2.12,3.25,0,0,5.2
Marco,Bizot,GK,"Aston Villa",4.3000,7,180,2,0,0,1,3.5,0,0,0,2.05,1.5,0,2,3.5,0,0,1.627906977
Matty,Cash,DEF,"Aston Villa",4.6000,46,876,10,2,0,3,4.6,0.02,0.07,0.09,1.23,0.92,6.16,0,4.726027397,0.205479452,0,10
Lucas,Digne,DEF,"Aston Villa",4.5000,33,727,9,0,2,3,3.3,0.03,0.15,0.18,1.16,0.74,4.7,0,4.085281981,0,0.247592847,7.333333333
Ezri,"Konsa Ngoyo",DEF,"Aston Villa",4.4000,27,785,9,0,0,3,3,0,0.01,0.01,1.3,1.03,5.96,0,3.095541401,0,0,6.136363636
Tyrone,Mings,DEF,"Aston Villa",4.4000,24,497,6,0,0,2,3.4,0.06,0.02,0.08,1.59,1.09,7.42,0,4.346076459,0,0,5.454545455
Pau,Torres,DEF,"Aston Villa",4.3000,19,507,5,0,0,1,2.7,0.02,0.03,0.05,1.1,1.07,7.46,0,3.372781065,0,0,4.418604651
Lamare,Bogarde,DEF,"Aston Villa",4.0000,15,282,3,0,0,1,2.5,0,0.03,0.03,1.05,0.64,2.55,0,4.787234043,0,0,3.75
Morgan,Rogers,MID,"Aston Villa",6.8000,33,891,10,1,2,3,3.3,0.06,0.09,0.15,1.3,1.01,5.96,0,3.333333333,0.101010101,0.202020202,4.852941176
Youri,Tielemans,MID,"Aston Villa",5.9000,8,315,4,0,0,1,2,0.04,0.11,0.15,1.85,1.14,6,0,2.285714286,0,0,1.355932203
Emiliano,Buendia,MID,"Aston Villa",5.3000,28,365,3,2,2,1,3.5,0.19,0.16,0.35,1.06,0.74,9.86,0,6.904109589,0.493150685,0.493150685,5.283018868
Donyell,Malen,MID,"Aston Villa",5.1000,26,323,3,2,0,0,2.6,0.25,0.04,0.29,1.29,1.67,2.79,0,7.244582043,0.557275542,0,5.098039216
John,McGinn,MID,"Aston Villa",5.4000,27,767,10,1,0,4,2.7,0.11,0.13,0.24,1.24,0.94,6.81,0,3.168187744,0.117340287,0,5
Boubacar,Kamara,MID,"Aston Villa",4.9000,21,564,7,0,2,2,2.6,0.01,0.06,0.07,1.12,0.96,9.89,0,3.35106383,0,0.319148936,4.285714286
Amadou,Onana,MID,"Aston Villa",4.8000,15,415,5,0,0,2,2.5,0.05,0.02,0.07,1.19,0.87,11.93,0,3.253012048,0,0,3.125
Ollie,Watkins,FWD,"Aston Villa",8.5000,25,786,9,1,0,4,2.5,0.22,0.04,0.26,1.3,0.92,2.98,0,2.86259542,0.114503817,0,2.941176471
Evann,Guessand,MID,"Aston Villa",6.3000,13,416,5,0,0,1,1.4,0.08,0.07,0.15,1.46,1.3,9.52,0,2.8125,0,0,2.063492063
Kyle,Walker,DEF,Burnley,4.4000,29,900,10,0,1,2,2.9,0.01,0.04,0.05,2.12,1.9,7.5,0,2.9,0,0.1,6.590909091
Hjalmar,Ekdal,DEF,Burnley,4.0000,20,533,6,0,0,1,2.9,0.03,0.03,0.06,1.91,2.03,10.13,0,3.377110694,0,0,5
Maxime,Esteve,DEF,Burnley,4.0000,25,892,10,0,0,2,2.5,0.02,0.03,0.05,2.13,1.92,9.38,0,2.522421525,0,0,6.25
Quilindschy,Hartman,DEF,Burnley,4.0000,35,897,10,0,4,2,3.5,0.01,0.13,0.14,2.07,1.71,6.92,0,3.511705686,0,0.401337793,8.75
Axel,Tuanzebe,DEF,Burnley,3.9000,13,360,4,0,0,1,3.2,0,0,0,2.24,1.5,11.5,0,3.25,0,0,3.333333333
Jaidon,Anthony,MID,Burnley,5.7000,47,806,10,4,1,3,4.7,0.25,0.07,0.32,2.08,1.67,8.04,0,5.248138958,0.446650124,0.111662531,8.245614035
Jacob,"Bruun Larsen",MID,Burnley,5.3000,15,388,4,0,1,1,1.9,0.03,0.11,0.14,1.93,2.09,4.18,0,3.479381443,0,0.231958763,2.830188679
Josh,Cullen,MID,Burnley,5.0000,43,851,10,1,1,3,4.3,0.02,0.07,0.09,2.03,1.69,11.21,0,4.547591069,0.105757932,0.105757932,8.6
Hannibal,Mejbri,MID,Burnley,4.9000,17,268,3,0,1,1,1.9,0.05,0.17,0.22,2.39,2.35,8.73,0,5.708955224,0,0.335820896,3.469387755
Josh,Laurent,MID,Burnley,4.9000,15,557,6,0,0,0,1.5,0.03,0.02,0.05,2.15,2.26,8.24,0,2.423698384,0,0,3.06122449
Loum,Tchaouna,MID,Burnley,4.9000,20,369,4,1,1,1,2.2,0.09,0.04,0.13,1.9,1.22,5.61,0,4.87804878,0.243902439,0.243902439,4.081632653
Zian,Flemming,FWD,Burnley,5.3000,20,273,3,2,0,1,2.9,0.28,0.01,0.29,2.27,1.32,4.62,0,6.593406593,0.659340659,0,3.773584906
Lyle,Foster,FWD,Burnley,5.0000,28,578,7,2,1,2,3.5,0.2,0.02,0.22,1.79,1.87,4.83,0,4.359861592,0.311418685,0.155709343,5.6
Martin,Dubravka,GK,Burnley,4.0000,33,900,10,0,0,2,3.3,0,0,0,2.12,1.9,0,4.3,3.3,0,0,8.25
Lesley,Ugochukwu,MID,Burnley,5.0000,27,518,6,2,0,2,3,0.14,0.01,0.15,2.36,1.74,8.17,0,4.691119691,0.347490347,0,5.4
"Florentino Ibrain","Morris Luis",MID,Burnley,5.0000,24,567,6,0,1,1,3.4,0.06,0.01,0.07,2.1,2.06,12.22,0,3.80952381,0,0.158730159,4.8
Aorae,Petrovic,GK,Bournemouth,4.5000,39,900,10,0,0,4,3.9,0,0,0,1.34,1.4,0,3.1,3.9,0,0,8.666666667
Marcos,"Senesi Baran",DEF,Bournemouth,5.0000,56,887,10,0,2,4,5.6,0.02,0.13,0.15,1.33,1.42,12.89,0,5.682074408,0,0.202931229,11.2
Adam,Smith,DEF,Bournemouth,4.4000,8,204,3,0,0,1,2.7,0,0.04,0.04,1.13,1.32,4.85,0,3.529411765,0,0,1.818181818
Adrien,Truffert,DEF,Bournemouth,4.5000,45,900,10,0,1,4,4.5,0.01,0.05,0.06,1.34,1.4,7.1,0,4.5,0,0.1,10
James,Hill,DEF,Bournemouth,4.0000,17,273,2,0,0,2,2.4,0.04,0.06,0.1,1.03,0.99,7.91,0,5.604395604,0,0,4.25
Justin,Kluivert,MID,Bournemouth,7.0000,16,330,3,1,0,1,1.8,0.11,0.19,0.3,1.41,1.36,5.73,0,4.363636364,0.272727273,0,2.285714286
Antoine,Semenyo,MID,Bournemouth,8.1000,75,900,10,6,4,4,7.5,0.38,0.05,0.43,1.34,1.4,7.8,0,7.5,0.6,0.4,9.259259259
Marcus,Tavernier,MID,Bournemouth,5.5000,45,766,9,2,1,5,4.5,0.12,0.15,0.27,1.14,1.17,8.11,0,5.287206266,0.234986945,0.117493473,8.181818182
Tyler,Adams,MID,Bournemouth,5.0000,35,863,10,1,1,4,3.5,0.06,0.02,0.08,1.32,1.36,12.2,0,3.650057937,0.10428737,0.10428737,7
David,Brooks,MID,Bournemouth,5.0000,20,536,7,0,1,3,2.2,0.16,0.25,0.41,1.05,1.18,7.22,0,3.358208955,0,0.167910448,4
Ryan,Christie,MID,Bournemouth,5.0000,15,199,1,1,1,0,1.9,0.35,0.03,0.38,2.19,1.81,13.12,0,6.783919598,0.452261307,0.452261307,3
Alex,Scott,MID,Bournemouth,5.0000,34,665,9,1,1,4,3.4,0.07,0.05,0.12,1.13,1.08,9.74,0,4.601503759,0.135338346,0.135338346,6.8
"Francisco Evanilson","de Lima Barbosa",FWD,Bournemouth,7.0000,23,645,7,1,1,3,2.9,0.18,0.04,0.22,0.91,1.12,4.19,0,3.209302326,0.139534884,0.139534884,3.285714286
"Eli Junior",Kroupi,FWD,Bournemouth,4.6000,29,224,3,4,0,1,4.1,0.73,0.05,0.78,1.95,2.41,5.62,0,11.65178571,1.607142857,0,6.304347826
BafodA,DiakitA,DEF,Bournemouth,4.5000,30,720,8,0,0,3,3.8,0,0.01,0.01,1.55,1.62,9,0,3.75,0,0,6.666666667
Amine,Adli,MID,Bournemouth,5.4000,7,183,1,0,0,0,1,0.05,0.04,0.09,1.87,1.48,17.21,0,3.442622951,0,0,1.296296296
Alex,"JimAnez SAnchez",DEF,Bournemouth,4.5000,9,374,5,0,0,1,1.3,0.01,0.03,0.04,1.73,1.93,5.29,0,2.165775401,0,0,2
Veljko,Milosavljevic,DEF,Bournemouth,4.5000,11,185,2,0,0,1,3.7,0,0.09,0.09,0.59,0.49,7.3,0,5.351351351,0,0,2.444444444
Dango,Ouattara,MID,Brentford,6.0000,35,550,6,2,1,2,3.9,0.42,0.06,0.48,1.15,1.31,7.69,0,5.727272727,0.327272727,0.163636364,5.833333333
CaoimhAn,Kelleher,GK,Brentford,4.5000,30,900,10,0,0,2,3,0,0,0,1.31,1.6,0,2.5,3,0,0,6.666666667
Nathan,Collins,DEF,Brentford,4.9000,30,900,10,0,0,2,3,0.03,0.04,0.07,1.31,1.6,10.1,0,3,0,0,6.12244898
Keane,Lewis-Potter,DEF,Brentford,4.9000,21,446,5,0,1,2,2.3,0.03,0.07,0.1,1.49,1.82,4.44,0,4.237668161,0,0.201793722,4.285714286
Kristoffer,Ajer,DEF,Brentford,4.4000,19,388,4,0,2,1,2.7,0.1,0.12,0.22,0.94,1.39,7.89,0,4.407216495,0,0.463917526,4.318181818
Michael,Kayode,DEF,Brentford,4.5000,30,862,10,0,0,2,3,0.01,0.13,0.14,1.34,1.57,6.16,0,3.13225058,0,0,6.666666667
Sepp,"van den Berg",DEF,Brentford,4.5000,32,900,10,0,0,2,3.2,0.1,0.02,0.12,1.31,1.6,8.8,0,3.2,0,0,7.111111111
Aaron,Hickey,DEF,Brentford,4.0000,6,184,2,0,0,0,1.2,0.01,0.03,0.04,1.1,1.47,3.91,0,2.934782609,0,0,1.5
Kevin,Schade,MID,Brentford,7.0000,32,830,9,2,2,2,3.2,0.29,0.08,0.37,1.16,1.19,6.51,0,3.469879518,0.21686747,0.21686747,4.571428571
Mikkel,Damsgaard,MID,Brentford,5.8000,31,632,8,1,1,2,3.9,0.08,0.18,0.26,1.29,1.42,8.4,0,4.414556962,0.142405063,0.142405063,5.344827586
Jordan,Henderson,MID,Brentford,5.0000,27,739,9,0,2,3,2.7,0.01,0.09,0.1,1.16,1.34,8.53,0,3.288227334,0,0.243572395,5.4
Mathias,Jensen,MID,Brentford,4.9000,20,208,2,2,0,0,2.5,0.22,0.06,0.28,1.56,2.16,11.25,0,8.653846154,0.865384615,0,4.081632653
Yehor,Yarmoliuk,MID,Brentford,5.0000,29,785,10,0,1,2,2.9,0.03,0.05,0.08,1.29,1.61,10.66,0,3.324840764,0,0.114649682,5.8
"Igor Thiago","Nascimento Rodrigues",FWD,Brentford,6.2000,47,831,10,6,0,2,4.7,0.5,0.02,0.52,1.35,1.62,5.31,0,5.090252708,0.649819495,0,7.580645161
Bart,Verbruggen,GK,Brighton,4.4000,20,900,10,0,0,1,2,0,0,0,1.25,1.5,0,2.3,2,0,0,4.545454545
Maxim,"De Cuyper",DEF,Brighton,4.3000,15,406,5,1,0,0,1.9,0.16,0.17,0.33,1.37,1.77,4.66,0,3.325123153,0.221674877,0,3.488372093
Lewis,Dunk,DEF,Brighton,4.5000,23,900,10,0,1,1,2.3,0.06,0.01,0.07,1.25,1.5,7.4,0,2.3,0,0.1,5.111111111
Ferdi,Kadioglu,DEF,Brighton,4.4000,16,644,6,0,0,1,1.8,0.04,0.09,0.13,1.24,1.54,5.31,0,2.236024845,0,0,3.636363636
"Jan Paul","van Hecke",DEF,Brighton,4.4000,35,900,10,1,0,1,3.5,0.06,0.03,0.09,1.25,1.5,9.5,0,3.5,0.1,0,7.954545455
Joel,Veltman,DEF,Brighton,4.3000,7,324,4,0,0,0,1.8,0,0,0,1.62,1.67,10,0,1.944444444,0,0,1.627906977
Mitoma,Kaoru,MID,Brighton,6.2000,20,508,6,1,1,1,3.3,0.13,0.05,0.18,1.42,1.42,3.9,0,3.543307087,0.177165354,0.177165354,3.225806452
Georginio,Rutter,MID,Brighton,5.7000,28,604,7,0,3,3,3.1,0.06,0.19,0.25,1.02,1.04,5.22,0,4.17218543,0,0.447019868,4.912280702
Yankuba,Minteh,MID,Brighton,6.0000,47,859,10,1,5,2,4.7,0.21,0.17,0.38,1.26,1.36,7.65,0,4.924330617,0.104772992,0.523864959,7.833333333
Brajan,Gruda,MID,Brighton,5.4000,19,218,2,1,1,0,2.7,0.65,0.17,0.82,1.2,1.24,8.67,0,7.844036697,0.412844037,0.412844037,3.518518519
Yasin,Ayari,MID,Brighton,4.9000,26,781,8,1,0,1,2.6,0.11,0.06,0.17,1.12,1.38,9.56,0,2.996158771,0.115236876,0,5.306122449
Carlos,Baleba,MID,Brighton,4.7000,14,570,9,0,0,3,1.4,0.02,0.02,0.04,1.21,1.11,10.42,0,2.210526316,0,0,2.978723404
Diego,Gomez,MID,Brighton,4.9000,25,454,5,2,0,1,2.8,0.33,0.03,0.36,1.13,1.39,10.7,0,4.955947137,0.396475771,0,5.102040816
James,Milner,MID,Brighton,5.0000,15,187,1,1,1,0,2.1,0.38,0.19,0.57,1.61,3.37,9.14,0,7.219251337,0.481283422,0.481283422,3
Mats,Wieffer,MID,Brighton,4.9000,33,549,6,0,3,1,4.1,0.02,0.15,0.17,0.96,1.31,14.1,0,5.409836066,0,0.491803279,6.734693878
Danny,Welbeck,FWD,Brighton,6.5000,43,625,7,6,0,1,4.3,0.6,0.07,0.67,1.25,1.87,3.31,0,6.192,0.864,0,6.615384615
Robert,"Lynch Sanchez",GK,Chelsea,4.8000,31,814,10,0,0,4,3.1,0,0,0,1.31,1.22,0,1.99,3.427518428,0,0,6.458333333
Marc,"Cucurella Saseta",DEF,Chelsea,6.1000,43,806,9,0,2,4,4.3,0.04,0.15,0.19,1.37,1.12,6.92,0,4.801488834,0,0.223325062,7.049180328
Reece,James,DEF,Chelsea,5.5000,45,693,7,1,3,3,4.5,0.06,0.19,0.25,1.61,1.17,6.23,0,5.844155844,0.12987013,0.38961039,8.181818182
Trevoh,Chalobah,DEF,Chelsea,5.1000,49,750,9,2,1,4,5.4,0.09,0.07,0.16,1.1,1.2,9.24,0,5.88,0.24,0.12,9.607843137
Malo,Gusto,DEF,Chelsea,4.9000,24,473,5,0,1,3,3,0.01,0.07,0.08,1.51,0.95,4.57,0,4.566596195,0,0.190274841,4.897959184
Wesley,Fofana,DEF,Chelsea,4.4000,9,217,3,0,0,1,2.2,0,0,0,1.05,1.24,7.47,0,3.732718894,0,0,2.045454545
Tosin,Adarabioyo,DEF,Chelsea,4.3000,14,377,3,0,0,1,2,0.01,0.02,0.03,1.29,1.43,9.31,0,3.342175066,0,0,3.255813953
Josh,Acheampong,DEF,Chelsea,3.9000,27,348,4,1,0,2,5.4,0.16,0.01,0.17,1.95,1.29,6.21,0,6.982758621,0.25862069,0,6.923076923
Pedro,"Lomba Neto",MID,Chelsea,7.1000,43,753,10,2,2,4,4.3,0.17,0.21,0.38,1.1,0.72,4.3,0,5.139442231,0.239043825,0.239043825,6.056338028
Enzo,Fernandez,MID,Chelsea,6.7000,45,798,9,3,2,3,5,0.49,0.13,0.62,1.27,1.24,6.2,0,5.07518797,0.338345865,0.22556391,6.71641791
Estevao,Almeida,MID,Chelsea,6.5000,25,311,4,1,2,2,2.8,0.51,0.38,0.89,0.58,0.58,8.1,0,7.234726688,0.289389068,0.578778135,3.846153846
Jamie,Bynoe-Gittens,MID,Chelsea,6.1000,8,241,2,0,0,0,1,0.24,0.07,0.31,1.73,0.75,5.6,0,2.987551867,0,0,1.31147541
